date,title,author,file,source_url,categories,tags,words,images,comments
2013-02-01,Indie Spirit,rumorednow,2013-02-01-indie-spirit.md,https://pivotce.com/2013/02/01/indie-spirit/,Editorial,,366,0,0
2013-02-13,The End is Nigh!!!,rumorednow,2013-02-13-the-end-is-nigh.md,https://pivotce.com/2013/02/13/the-end-is-nigh/,Reviews,,246,0,0
2013-06-29,CAKE – A 9GAG Viewer,Sören Müller,2013-06-29-just-for-fun.md,https://pivotce.com/2013/06/29/just-for-fun/,Reviews,9GAG,156,1,0
2013-09-04,Upcoming auction of HP/Palm devices and more for a great cause,Alan Morford,2013-09-04-upcoming-auction-of-hppalm-devices-and-more-for-a-great-cause.md,https://pivotce.com/2013/09/04/upcoming-auction-of-hppalm-devices-and-more-for-a-great-cause/,News,auction,314,1,0
2013-09-27,webOS auction recap – SUCCESS!,Alan Morford,2013-09-27-webos-auction-recap-success.md,https://pivotce.com/2013/09/27/webos-auction-recap-success/,News,auction,269,1,0
2013-09-29,UPDATE – ACL for Touchpad public release delayed…again,Alan Morford,2013-09-29-update-acl-for-touchpad-public-release-delayed-again.md,https://pivotce.com/2013/09/29/update-acl-for-touchpad-public-release-delayed-again/,News,ACL|Android,597,1,0
2013-10-03,TIP – YouTube Search/Quality fix for webOS 1.x/2.x,Alan Morford,2013-10-03-tip-youtube-searchquality-fix-for-webos-1-x2-x.md,https://pivotce.com/2013/10/03/tip-youtube-searchquality-fix-for-webos-1-x2-x/,Tips,,387,1,6
2013-10-09,ACL for webOS pre-release video appears,Alan Morford,2013-10-09-acl-for-webos-pre-release-video-appears.md,https://pivotce.com/2013/10/09/acl-for-webos-pre-release-video-appears/,News,ACL,224,0,0
2013-10-12,ACL for webOS closer than ever but still no timeline,Alan Morford,2013-10-12-acl-for-webos-closer-than-ever-but-still-no-timeline.md,https://pivotce.com/2013/10/12/acl-for-webos-closer-than-ever-but-still-no-timeline/,News,ACL,193,0,0
2013-10-12,Webtype gives license to pivotCE.com for webOS fonts,Alan Morford,2013-10-12-webtype-gives-license-to-pivotce-com-for-webos-fonts.md,https://pivotce.com/2013/10/12/webtype-gives-license-to-pivotce-com-for-webos-fonts/,News,,273,1,0
2013-10-15,"Project updates – Open webOS hits Alpha 3, ACL for webOS pushes pre-release",Alan Morford,2013-10-15-project-updates-open-webos-hits-alpha-3-acl-for-webos-pushes-pre-release.md,https://pivotce.com/2013/10/15/project-updates-open-webos-hits-alpha-3-acl-for-webos-pushes-pre-release/,News,ACL,237,1,0
2013-10-22,Review: ACL™ for webOS Preview 0.6.0-4,Sören Müller,2013-10-22-review-acl-for-webos-beta-0-6-0-4.md,https://pivotce.com/2013/10/22/review-acl-for-webos-beta-0-6-0-4/,Reviews,ACL,570,2,0
2013-10-22,UPDATE – LG webOS TV emulator spotted,Alan Morford,2013-10-22-video-lg-webos-emulator-spotted.md,https://pivotce.com/2013/10/22/video-lg-webos-emulator-spotted/,News,,213,2,2
2013-10-25,HP attempts to sell Palm patents – again.,preemptive,2013-10-25-hp-attempt-to-sell-palm-patents-again.md,https://pivotce.com/2013/10/25/hp-attempt-to-sell-palm-patents-again/,News,,194,0,0
2013-10-29,About: pivotCE,preemptive,2013-10-29-about-pivotce.md,https://pivotce.com/2013/10/29/about-pivotce/,News,,998,1,0
2013-10-29,Contest – Halloween/webOS 2013,Sören Müller,2013-10-29-contest-halloweenwebos-2013.md,https://pivotce.com/2013/10/29/contest-halloweenwebos-2013/,Contests,,94,1,4
2013-11-01,Deal – 2 Coupons from PIC and OpenMobile,Alan Morford,2013-11-01-deal-2-coupons-from-pic-and-openmobile.md,https://pivotce.com/2013/11/01/deal-2-coupons-from-pic-and-openmobile/,Tips,Deal,578,1,1
2013-11-03,Skype shutting down 3rd-party apps in December,Alan Morford,2013-11-03-skype-shutting-down-3rd-party-apps-in-december.md,https://pivotce.com/2013/11/03/skype-shutting-down-3rd-party-apps-in-december/,News,,145,1,0
2013-11-04,ACL™ for webOS Compatibility Database,Sören Müller,2013-11-04-acl-for-webos-compatibility-database.md,https://pivotce.com/2013/11/04/acl-for-webos-compatibility-database/,News,ACL,248,1,0
2013-11-05,Halloween/webOS 2013 Contest Results,Alan Morford,2013-11-05-halloweenwebos-2013-contest-results.md,https://pivotce.com/2013/11/05/halloweenwebos-2013-contest-results/,Contests,,208,7,0
2013-11-07,When Innovation at HP stops,maninwhitecoat,2013-11-07-when-innovation-at-hp-stops.md,https://pivotce.com/2013/11/07/when-innovation-at-hp-stops/,News,,207,1,0
2013-11-10,Open Letter to LG #1,Alan Morford,2013-11-10-open-letter-to-lg-1.md,https://pivotce.com/2013/11/10/open-letter-to-lg-1/,News,,662,0,0
2013-11-15,Dev Highlight:  Garfonso,Alan Morford,2013-11-15-dev-highlight-garfonso.md,https://pivotce.com/2013/11/15/dev-highlight-garfonso/,Interview,Developer,816,2,0
2013-11-20,How-to: Meta-Doctor – No Makefile editing,Alan Morford,2013-11-20-how-to-meta-doctor-part-1-no-makefile-editing.md,https://pivotce.com/2013/11/20/how-to-meta-doctor-part-1-no-makefile-editing/,Tutorial,,1013,1,3
2013-11-21,"LG Enyo Director interviewed – talks webOS, Smart TV demo date",Alan Morford,2013-11-21-lg-enyo-director-interviewed-talks-webos-smart-tv-demo-date.md,https://pivotce.com/2013/11/21/lg-enyo-director-interviewed-talks-webos-smart-tv-demo-date/,News,,323,1,1
2013-11-22,HP TouchPad meets KitKat,Sören Müller,2013-11-22-hp-touchpad-meets-kitkat.md,https://pivotce.com/2013/11/22/hp-touchpad-meets-kitkat/,News,Android,148,0,0
2013-11-25,Dev Highlight: Hans Kokx,Alan Morford,2013-11-25-dev-highlight-hans-kokx.md,https://pivotce.com/2013/11/25/dev-highlight-hans-kokx/,News,Developer,524,4,0
2013-12-02,The Next webOS Phone? (Part I),rumorednow,2013-12-02-the-next-webos-phone-part-i.md,https://pivotce.com/2013/12/02/the-next-webos-phone-part-i/,News,diy,459,2,1
2013-12-03,A webOS Christmas Wish List,Alan Morford,2013-12-03-a-webos-christmas-wish-list.md,https://pivotce.com/2013/12/03/a-webos-christmas-wish-list/,Editorial,ACL|Christmas,547,1,4
2013-12-06,Android in a Card (Pre3),preemptive,2013-12-06-android-in-a-card-pre3.md,https://pivotce.com/2013/12/06/android-in-a-card-pre3/,News,ACL|Android,200,1,4
2013-12-08,"webOS Internals founder to OM/PIC “Too little, too late”",Alan Morford,2013-12-08-webos-internals-founder-to-ompic-too-little-too-late.md,https://pivotce.com/2013/12/08/webos-internals-founder-to-ompic-too-little-too-late/,News,ACL,1125,3,1
2013-12-11,Calling East Coast (USA) Enyo Developers,maninwhitecoat,2013-12-11-calling-east-coast-usa-enyo-developers.md,https://pivotce.com/2013/12/11/calling-east-coast-usa-enyo-developers/,News,enyo,95,1,0
2013-12-15,Orcrest – A Brand New webOS Game,at18061815,2013-12-15-orcrest.md,https://pivotce.com/2013/12/15/orcrest/,Reviews,,828,2,7
2013-12-18,Dev Highlight: Vistaus,Alan Morford,2013-12-18-dev-highlight-vistaus.md,https://pivotce.com/2013/12/18/dev-highlight-vistaus/,Interview,Developer,555,4,0
2013-12-19,UPDATE – ACL for webOS v1.0 Published,Alan Morford,2013-12-19-acl-for-webos-v1-0-published.md,https://pivotce.com/2013/12/19/acl-for-webos-v1-0-published/,News,ACL,386,2,2
2013-12-20,Job Listing: Staff Software Engineer for Enyo JavaScript/HTML5,maninwhitecoat,2013-12-20-job-listing-staff-software-engineer-for-enyo-javascripthtml5.md,https://pivotce.com/2013/12/20/job-listing-staff-software-engineer-for-enyo-javascripthtml5/,News,enyo,105,1,0
2013-12-20,LG will show webOS TVs at CES 2014,Sören Müller,2013-12-20-lg-will-show-webos-tvs-at-ces-2014.md,https://pivotce.com/2013/12/20/lg-will-show-webos-tvs-at-ces-2014/,News,CES,177,0,2
2013-12-20,PIC+OM+GPL = A Bad Day for webOS Fans,Alan Morford,2013-12-20-pic-om-gpl-a-bad-day-for-webos-fans.md,https://pivotce.com/2013/12/20/pic-om-gpl-a-bad-day-for-webos-fans/,Editorial,ACL,461,1,6
2013-12-22,webOS-Patches Web Portal hacked,Sören Müller,2013-12-22-webos-patches-web-portal-hacked.md,https://pivotce.com/2013/12/22/webos-patches-web-portal-hacked/,News,,134,0,0
2013-12-24,Merry Christmas and Happy New Year from pivotCE!,Sören Müller,2013-12-24-merry-christmas-and-happy-new-year-from-pivotce.md,https://pivotce.com/2013/12/24/merry-christmas-and-happy-new-year-from-pivotce/,News,,222,0,0
2013-12-25,The First Day of webOS-mas – webOS Quick Install,preemptive,2013-12-25-happy-christmas.md,https://pivotce.com/2013/12/25/happy-christmas/,News,,53,0,0
2013-12-26,The Second Day of webOS-mas – Print from your phone,preemptive,2013-12-26-the-second-day-of-webos-mas-print-from-your-phone.md,https://pivotce.com/2013/12/26/the-second-day-of-webos-mas-print-from-your-phone/,News,,91,1,0
2013-12-27,The Third Day of webOS-mas – The Touchstone.,preemptive,2013-12-27-the-third-day-of-webos-mas-the-touchstone.md,https://pivotce.com/2013/12/27/the-third-day-of-webos-mas-the-touchstone/,News,,103,1,2
2013-12-28,The Fourth day of webOS-mas – WiFi File Sharing.,preemptive,2013-12-28-the-fourth-day-of-webos-mas-wifi-file-sharing.md,https://pivotce.com/2013/12/28/the-fourth-day-of-webos-mas-wifi-file-sharing/,News,,77,1,0
2013-12-29,The Fifth day of webOS-mas – Internalz Pro.,preemptive,2013-12-29-the-fifth-day-of-webos-mas-internalz-pro.md,https://pivotce.com/2013/12/29/the-fifth-day-of-webos-mas-internalz-pro/,News,,59,1,0
2013-12-30,The Sixth day of webOS-mas – 6Ts.,preemptive,2013-12-30-the-sixth-day-of-webos-mas-6ts.md,https://pivotce.com/2013/12/30/the-sixth-day-of-webos-mas-6ts/,News,,62,1,0
2013-12-31,The Seventh day of webOS-mas – FeedSpider,preemptive,2013-12-31-the-seventh-day-of-webos-mas-feedspider.md,https://pivotce.com/2013/12/31/the-seventh-day-of-webos-mas-feedspider/,News,,114,1,0
2014-01-01,Happy twentyfourteen!,Sören Müller,2014-01-01-happy-twentyfourteen.md,https://pivotce.com/2014/01/01/happy-twentyfourteen/,pivotCE,,132,0,4
2014-01-01,The Eighth day of webOS-mas – Project Macaw.,preemptive,2014-01-01-the-eighth-day-of-webos-mas-project-macaw.md,https://pivotce.com/2014/01/01/the-eighth-day-of-webos-mas-project-macaw/,News,,101,1,1
2014-01-02,A preview picture of the LG webOS TV,preemptive,2014-01-02-a-preview-picture-of-the-lg-webos-tv.md,https://pivotce.com/2014/01/02/a-preview-picture-of-the-lg-webos-tv/,News,,239,1,4
2014-01-02,The Ninth day of webOS-mas – webOS Doctor.,preemptive,2014-01-02-the-ninth-day-of-webos-mas-webos-doctor.md,https://pivotce.com/2014/01/02/the-ninth-day-of-webos-mas-webos-doctor/,News,,118,1,8
2014-01-02,The Verge nabs proof of the webOS that never was,Alan Morford,2014-01-02-the-verge-nabs-proof-of-the-webos-that-never-was.md,https://pivotce.com/2014/01/02/the-verge-nabs-proof-of-the-webos-that-never-was/,News,,164,1,0
2014-01-03,The Tenth day of webOS-mas – Tweaks.,preemptive,2014-01-03-the-tenth-day-of-webos-mas-tweaks.md,https://pivotce.com/2014/01/03/the-tenth-day-of-webos-mas-tweaks/,News,,135,1,0
2014-01-04,The Eleventh day of webOS-mas – Preware.,preemptive,2014-01-04-the-eleventh-day-of-webos-mas-preware.md,https://pivotce.com/2014/01/04/the-eleventh-day-of-webos-mas-preware/,News,,217,1,0
2014-01-05,﻿The Twelfth day of webOS-mas – Uberkernel.,preemptive,2014-01-05-%ef%bb%bfthe-twelfth-day-of-webos-mas-uberkernel.md,https://pivotce.com/2014/01/05/%ef%bb%bfthe-twelfth-day-of-webos-mas-uberkernel/,News,,232,0,2
2014-01-05,TouchPad Spotted in TV Commercial,Alan Morford,2014-01-05-touchpad-spotted-in-tv-commercial.md,https://pivotce.com/2014/01/05/touchpad-spotted-in-tv-commercial/,News,,101,1,2
2014-01-06,Countdown to LG’s CES 2014 press conference,Sören Müller,2014-01-06-countdown-to-lgs-ces-2014-press-conference.md,https://pivotce.com/2014/01/06/countdown-to-lgs-ces-2014-press-conference/,News,CES,135,3,0
2014-01-07,webOS at the CES 2014,preemptive,2014-01-07-webos-at-the-ces-2014.md,https://pivotce.com/2014/01/07/webos-at-the-ces-2014/,News,Bean Bird,1212,2,3
2014-01-08,Former HP CTO weighs in on LG’s webOS TV,Alan Morford,2014-01-08-former-hp-cto-weighs-in-on-lgs-webos-tv.md,https://pivotce.com/2014/01/08/former-hp-cto-weighs-in-on-lgs-webos-tv/,News,CES,119,0,0
2014-01-10,An advertisement for LG webOS,preemptive,2014-01-10-an-advertisement-for-lg-webos.md,https://pivotce.com/2014/01/10/an-advertisement-for-lg-webos/,News,,42,0,0
2014-01-14,Feedly goes webOS,Sören Müller,2014-01-14-feedly-goes-webos.md,https://pivotce.com/2014/01/14/feedly-goes-webos/,Reviews,feedly|feedspider,277,1,4
2014-01-23,LG looking for more content partner deals for webOS TV,maninwhitecoat,2014-01-23-lg-looking-for-more-content-partner-deals-for-webos-tv.md,https://pivotce.com/2014/01/23/lg-looking-for-more-content-partner-deals-for-webos-tv/,News,,248,1,0
2014-01-27,The search for real 4G on the TouchPad,Herrie,2014-01-27-the-search-for-real-4g-on-the-touchpad.md,https://pivotce.com/2014/01/27/the-search-for-real-4g-on-the-touchpad/,Tips,,1215,5,4
2014-01-29,FIXED – Update 2: Hotmail/Outlook.com accounts misbehaving,maninwhitecoat,2014-01-29-hotmailoutlook-com-accounts-misbehaving.md,https://pivotce.com/2014/01/29/hotmailoutlook-com-accounts-misbehaving/,News,,374,2,6
2014-01-29,webOS meet up: San Francisco,preemptive,2014-01-29-webos-meet-up-san-francisco.md,https://pivotce.com/2014/01/29/webos-meet-up-san-francisco/,News,,219,0,1
2014-01-30,To Doctor or Not To Doctor: A Call to Stop “Lazy Troubleshooting”,Alan Morford,2014-01-30-to-doctor-or-not-to-doctor-a-call-to-stop-lazy-troubleshooting.md,https://pivotce.com/2014/01/30/to-doctor-or-not-to-doctor-a-call-to-stop-lazy-troubleshooting/,Editorial,doctor,1529,0,1
2014-01-31,Dev Highlight: Grabber5.0,Alan Morford,2014-01-31-dev-highlight-grabber5-0.md,https://pivotce.com/2014/01/31/dev-highlight-grabber5-0/,Interview,Developer,828,6,5
2014-01-31,Foursquare broken and fixed in 24 hours,Alan Morford,2014-01-31-foursquare-broken-and-fixed-in-24-hours.md,https://pivotce.com/2014/01/31/foursquare-broken-and-fixed-in-24-hours/,News,,199,1,7
2014-02-11,The Pink Side of the Moon,Sören Müller,2014-02-11-the-pink-side-of-the-moon.md,https://pivotce.com/2014/02/11/the-pink-side-of-the-moon/,News,enyo,163,3,0
2014-02-12,I don’t care about webOS on TVs,Alan Morford,2014-02-12-i-dont-care-about-webos-on-tvs.md,https://pivotce.com/2014/02/12/i-dont-care-about-webos-on-tvs/,Editorial,,1034,2,8
2014-02-14,ACL Release – Part 2,preemptive,2014-02-14-acl-release-part-2.md,https://pivotce.com/2014/02/14/acl-release-part-2/,News,ACL,123,0,1
2014-02-16,Dev Highlight: Donald Kirker,Alan Morford,2014-02-16-dev-highlight-donald-kirker.md,https://pivotce.com/2014/02/16/dev-highlight-donald-kirker/,Interview,Developer,477,4,1
2014-02-17,Android chroot,preemptive,2014-02-17-android-chroot.md,https://pivotce.com/2014/02/17/android-chroot/,News,Android|chroot,718,1,1
2014-03-01,Review: HP TouchPad Go Custom-made Case,Alan Morford,2014-03-01-review-hp-touchpad-go-custom-made-case.md,https://pivotce.com/2014/03/01/review-hp-touchpad-go-custom-made-case/,Reviews,Case,331,4,0
2014-03-14,Free Pizza for Enyo Developers,preemptive,2014-03-14-free-pizza-for-enyo-developers.md,https://pivotce.com/2014/03/14/free-pizza-for-enyo-developers/,News,Developers|enyo,137,0,0
