id,date,title,caption,alt,mime,attached_to_post,source_url,local_path,used_in_archive,downloaded
61,2013-06-22,image-r960x960-C-9dba66d7-47672139.jpg,http://pattyland.de/pivot/files/2013/06/image-r960x960-C-9dba66d7-47672139.jpg,,image/jpeg,,https://pivotce.com/files/2013/06/image-r960x960-C-9dba66d7-47672139.jpg,images/files/2013/06/image-r960x960-C-9dba66d7-47672139.jpg,no,ok
67,2013-06-29,cake icon,,,image/png,66,https://pivotce.com/files/2013/06/icon.png,images/files/2013/06/icon.png,yes,ok
73,2013-07-03,pivot_logo,,,image/png,,https://pivotce.com/files/2013/07/pivot_logo.png,images/files/2013/07/pivot_logo.png,no,ok
96,2013-09-03,palmstuff,,,image/jpeg,90,https://pivotce.com/files/2013/09/palmstuff.jpg,images/files/2013/09/palmstuff.jpg,variant,ok
127,2013-09-21,5889980607_e212225faa_o.jpg,http://news.pivotce.com/files/2013/09/5889980607_e212225faa_o.jpg,,image/jpeg,,https://pivotce.com/files/2013/09/5889980607_e212225faa_o.jpg,images/files/2013/09/5889980607_e212225faa_o.jpg,no,ok
128,2013-09-21,cropped-5890540066_4f1b4d492c_o.jpg,http://news.pivotce.com/files/2013/09/cropped-5890540066_4f1b4d492c_o.jpg,,image/jpeg,,https://pivotce.com/files/2013/09/cropped-5890540066_4f1b4d492c_o.jpg,images/files/2013/09/cropped-5890540066_4f1b4d492c_o.jpg,no,ok
142,2013-09-21,Logo_pivotCE_dunkel_2302.png,http://news.pivotce.com/files/2013/09/Logo_pivotCE_dunkel_2302.png,,image/png,,https://pivotce.com/files/2013/09/Logo_pivotCE_dunkel_2302.png,images/files/2013/09/Logo_pivotCE_dunkel_2302.png,no,ok
153,2013-09-27,sold-stamp,,,image/gif,146,https://pivotce.com/files/2013/09/sold-stamp-e1380297813682.gif,images/files/2013/09/sold-stamp-e1380297813682.gif,yes,ok
182,2013-09-29,ACL for Touchpad,Image Credit: PIC,,image/jpeg,145,https://pivotce.com/files/2013/09/OpenMobile-ACL-For-webOS.jpg,images/files/2013/09/OpenMobile-ACL-For-webOS.jpg,yes,ok
201,2013-10-03,brokensearch,Before – Search is Broken,,image/png,191,https://pivotce.com/files/2013/10/brokensearch.png,images/files/2013/10/brokensearch.png,no,ok
